,name,symbol,quote.USD.market_cap,date_added
0,Bitcoin,BTC,1329494903684.8452,2010-07-13T00:00:00.000Z
1,Ethereum,ETH,399431418141.4365,2015-08-07T00:00:00.000Z
2,Tether USDt,USDT,106612707506.05927,2015-02-25T00:00:00.000Z
3,BNB,BNB,86917941600.2821,2017-07-25T00:00:00.000Z
4,Solana,SOL,77526848186.12975,2020-04-10T00:00:00.000Z
5,USDC,USDC,32838561280.779034,2018-10-08T00:00:00.000Z
6,XRP,XRP,32298489221.423103,2013-08-04T00:00:00.000Z
7,Dogecoin,DOGE,25359753240.285656,2013-12-15T00:00:00.000Z
8,Cardano,ADA,20453997555.76622,2017-10-01T00:00:00.000Z
9,Toncoin,TON,18793674558.253098,2021-08-26T13:40:22.000Z
10,Avalanche,AVAX,17155461111.678429,2020-07-13T00:00:00.000Z
11,Shiba Inu,SHIB,15815468847.393717,2020-08-01T00:00:00.000Z
12,Bitcoin Cash,BCH,13068076444.54401,2017-07-23T00:00:00.000Z
13,Polkadot,DOT,11995690214.999046,2020-08-19T00:00:00.000Z
14,TRON,TRX,10337349332.605848,2017-09-13T00:00:00.000Z
15,Chainlink,LINK,10233721753.222944,2017-09-20T00:00:00.000Z
16,Polygon,MATIC,8786197006.892406,2019-04-28T00:00:00.000Z
17,Internet Computer,ICP,7854075997.181349,2021-03-23T00:00:00.000Z
18,NEAR Protocol,NEAR,7824789237.073675,2020-08-11T00:00:00.000Z
19,Litecoin,LTC,7345097511.743919,2013-04-28T00:00:00.000Z
20,Uniswap,UNI,6533623682.174711,2020-09-17T00:00:00.000Z
21,Dai,DAI,5347447496.58511,2019-11-22T00:00:00.000Z
22,UNUS SED LEO,LEO,5331426545.918748,2019-05-21T00:00:00.000Z
23,Aptos,APT,5239700097.0569725,2022-10-19T01:50:25.000Z
24,Ethereum Classic,ETC,4942622982.239273,2016-07-24T00:00:00.000Z
25,Stacks,STX,4510947084.275268,2019-10-28T00:00:00.000Z
26,Filecoin,FIL,4474159397.103261,2017-12-13T00:00:00.000Z
27,Mantle,MNT,4270434065.3134193,2023-07-17T11:00:31.000Z
28,Cosmos,ATOM,4267379602.599795,2019-03-14T00:00:00.000Z
29,Bittensor,TAO,3880301612.9685616,2023-03-06T05:20:00.000Z
30,Arbitrum,ARB,3810624306.614516,2023-03-23T12:50:11.000Z
31,Immutable,IMX,3796973097.050727,2021-06-24T00:00:00.000Z
32,Cronos,CRO,3755043597.0741887,2018-12-14T00:00:00.000Z
33,Stellar,XLM,3678330760.876888,2014-08-05T00:00:00.000Z
34,First Digital USD,FDUSD,3538536791.0088873,2023-07-26T04:26:40.000Z
35,Render,RNDR,3522945548.0699377,2020-06-11T00:00:00.000Z
36,Hedera,HBAR,3510440411.077211,2019-09-17T00:00:00.000Z
37,Maker,MKR,3422470308.2350965,2017-01-29T00:00:00.000Z
38,OKB,OKB,3406592831.278826,2019-04-30T00:00:00.000Z
39,dogwifhat,WIF,3238491036.7002974,2023-12-19T09:08:50.000Z
40,The Graph,GRT,3141296066.7238855,2020-12-17T00:00:00.000Z
41,Injective,INJ,3118481438.2941833,2020-09-29T00:00:00.000Z
42,Kaspa,KAS,3052667590.226375,2022-06-01T00:03:58.000Z
43,VeChain,VET,2947391017.5038004,2017-08-22T00:00:00.000Z
44,Optimism,OP,2931842121.8833933,2022-05-31T16:19:46.000Z
45,Pepe,PEPE,2780663382.1466975,2023-04-17T06:18:08.000Z
46,Theta Network,THETA,2582128021.231185,2018-01-17T00:00:00.000Z
47,THORChain,RUNE,2480185752.406916,2019-07-23T00:00:00.000Z
48,Monero,XMR,2344474865.38024,2014-05-21T00:00:00.000Z
49,Lido DAO,LDO,2282523155.8546877,2020-12-15T00:00:00.000Z
50,Core,CORE,2242125629.7719502,2023-02-08T12:26:11.000Z
51,Fantom,FTM,2240564332.026163,2018-10-29T00:00:00.000Z
52,Fetch.ai,FET,2215999902.007205,2019-03-02T00:00:00.000Z
53,Celestia,TIA,2096748920.3459232,2023-10-31T16:51:41.000Z
54,Sui,SUI,2088579109.1734986,2022-07-12T08:03:11.000Z
55,Arweave,AR,2077519756.7147212,2020-05-27T00:00:00.000Z
56,Flow,FLOW,1876563665.9163585,2021-01-27T00:00:00.000Z
57,Algorand,ALGO,1869753696.01135,2019-06-20T00:00:00.000Z
58,Sei,SEI,1867308869.7159305,2023-08-14T07:35:00.000Z
59,Bitcoin SV,BSV,1847689286.6471262,2018-11-09T00:00:00.000Z
60,Jupiter,JUP,1821835426.7649472,2024-01-31T08:38:13.000Z
